,StO2_1,bvf_1,mvf_1,a_mie_1,b_mie_1,g_1,n_1,d_1 (um),StO2_2,bvf_2,mvf_2,a_mie_2,b_mie_2,g_2,n_2,d_2 (um),StO2_3,bvf_3,mvf_3,a_mie_3,b_mie_3,g_3,n_3,d_3 (um)
0,0,0,0.03,60,0.4,0.8,1.37,100,0.2,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
1,0,0,0.03,60,0.4,0.8,1.37,100,0.257142857,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
2,0,0,0.03,60,0.4,0.8,1.37,100,0.314285714,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
3,0,0,0.03,60,0.4,0.8,1.37,100,0.371428571,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
4,0,0,0.03,60,0.4,0.8,1.37,100,0.428571429,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
5,0,0,0.03,60,0.4,0.8,1.37,100,0.485714286,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
6,0,0,0.03,60,0.4,0.8,1.37,100,0.542857143,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
7,0,0,0.03,60,0.4,0.8,1.37,100,0.6,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
8,0,0,0.03,60,0.4,0.8,1.37,100,0.657142857,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
9,0,0,0.03,60,0.4,0.8,1.37,100,0.714285714,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
10,0,0,0.03,60,0.4,0.8,1.37,100,0.771428571,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
11,0,0,0.03,60,0.4,0.8,1.37,100,0.828571429,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
12,0,0,0.03,60,0.4,0.8,1.37,100,0.885714286,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
13,0,0,0.03,60,0.4,0.8,1.37,100,0.942857143,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
14,0,0,0.03,60,0.4,0.8,1.37,100,1,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
0,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.2,0.02,0,25,0.5,0.88,1.44,1500
1,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.257142857,0.02,0,25,0.5,0.88,1.44,1500
2,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.314285714,0.02,0,25,0.5,0.88,1.44,1500
3,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.371428571,0.02,0,25,0.5,0.88,1.44,1500
4,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.428571429,0.02,0,25,0.5,0.88,1.44,1500
5,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.485714286,0.02,0,25,0.5,0.88,1.44,1500
6,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.542857143,0.02,0,25,0.5,0.88,1.44,1500
7,0,0,0.03,60,0.4,0.8,1.37,100,0.65,0.02,0,60,0.8,0.8,1.37,700,0.6,0.02,0,25,0.5,0.88,1.44,1500
