layer0_sao2,layer0.1_vhb,layer0.2_a_mie,layer0.3_b_mie,layer0.4_a_ray,layer0.5_g,layer0.6_n,layer0.7_d,layer1_sao2,layer1.1_vhb,layer1.2_a_mie,layer1.3_b_mie,layer1.4_a_ray,layer1.5_g,layer1.6_n,layer1.7_d,layer2_sao2,layer2.1_vhb,layer2.2_a_mie,layer2.3_b_mie,layer2.4_a_ray,layer2.5_g,layer2.6_n,layer2.7_d,460.46848,470.85913,475.64023,487.55966,495.06268,505.49545,516.9379,524.29926,536.7569,544.5972,555.9696,562.3306,574.3978,581.5989,588.1238,598.2659
0.22324416,0.01420937,3307.7336,1.286,0.0,0.8819528,1.36,0.0007172627,0.22324416,0.06197147,1537.7905,1.286,0.0,0.8053313,1.36,0.00047983744,0.22324416,0.08169133,2257.567,1.286,0.0,0.83568347,1.38,0.00040068585,0.071421355,0.07510211,0.076335885,0.07514176,0.07240326,0.068720676,0.06332144,0.059846014,0.053527176,0.051837105,0.050134815,0.050184194,0.052563097,0.05448704,0.0588231,0.066150814
0.31914973,0.012987325,1742.3805,1.286,0.0,0.8382515,1.36,0.0007986738,0.31914973,0.08474255,3304.9434,1.286,0.0,0.9286829,1.36,0.00081576983,0.31914973,0.05666782,1739.6051,1.286,0.0,0.84400195,1.38,0.0004954408,0.07110821,0.07668569,0.078640826,0.07799999,0.07481545,0.07038464,0.06341819,0.05879547,0.050514568,0.048792556,0.04718234,0.047308363,0.05010825,0.05274318,0.059719015,0.0717833
0.042802397,0.010656718,1504.9543,1.286,0.0,0.8359322,1.36,0.0006521307,0.042802397,0.081440076,3593.215,1.286,0.0,0.87833697,1.36,0.00055035844,0.042802397,0.002130275,3593.876,1.286,0.0,0.85393584,1.38,0.0005471466,0.07711334,0.08347296,0.085510954,0.08202602,0.07649835,0.06949065,0.061522692,0.05683059,0.049118526,0.046824172,0.044095777,0.044229228,0.048434865,0.05111301,0.05657209,0.067146845
0.28208467,0.042195182,3537.2493,1.286,0.0,0.9334667,1.36,0.00066838233,0.28208467,0.04090925,2116.6206,1.286,0.0,0.9041691,1.36,0.00063986995,0.28208467,0.088559285,4143.098,1.286,0.0,0.82489574,1.38,0.00043747493,0.0713613,0.07942113,0.082205534,0.0816094,0.077441044,0.071644805,0.062839925,0.057113018,0.047125064,0.045152172,0.043336228,0.04372868,0.047975384,0.051661704,0.060712393,0.07667215
0.73116755,0.07159992,651.3815,1.286,0.0,0.93771464,1.36,0.00062315294,0.73116755,0.014544939,2945.8704,1.286,0.0,0.8963554,1.36,0.0004439124,0.73116755,0.085577846,3320.4377,1.286,0.0,0.9274182,1.38,0.00059753505,0.044945143,0.06092315,0.06718955,0.07700528,0.07744416,0.07562505,0.062320337,0.051278,0.032550693,0.032842692,0.034664903,0.036299035,0.044668112,0.05454984,0.0904301,0.15726408
0.99590695,0.09185024,3203.914,1.286,0.0,0.9081973,1.36,0.0008893255,0.99590695,0.060695916,918.69775,1.286,0.0,0.88756174,1.36,0.00046441527,0.99590695,0.030197363,1570.9017,1.286,0.0,0.86195964,1.38,0.00056795095,0.04840699,0.05781931,0.06143036,0.06857567,0.070519336,0.07173407,0.06345934,0.055338256,0.040318515,0.0411628,0.044230625,0.045296382,0.049015384,0.056032956,0.085918084,0.1407419
0.4544782,0.03649465,1730.8524,1.286,0.0,0.8796228,1.36,0.000795417,0.4544782,0.012991017,2262.3809,1.286,0.0,0.9376284,1.36,0.0006528544,0.4544782,0.0659751,2591.291,1.286,0.0,0.8380609,1.38,0.0004198236,0.0652109,0.076139644,0.080145895,0.08234528,0.079052076,0.073834434,0.063377924,0.056023225,0.04318009,0.04171276,0.040846225,0.041482117,0.046292476,0.05142222,0.06637748,0.09255717
0.48205504,0.097625755,2312.7563,1.286,0.0,0.8507838,1.36,0.00067472813,0.48205504,0.083387874,2727.8906,1.286,0.0,0.88133115,1.36,0.0006976409,0.48205504,0.02916138,2392.9705,1.286,0.0,0.83233505,1.38,0.0004784701,0.06408163,0.076828256,0.08160862,0.0846059,0.08081094,0.07460456,0.062345877,0.053868998,0.039833117,0.03847726,0.03753774,0.038207177,0.043962184,0.049688507,0.0687487,0.10479052
0.5576767,0.07940166,2743.0532,1.286,0.0,0.862083,1.36,0.0009022609,0.5576767,0.020136932,1199.36,1.286,0.0,0.9448501,1.36,0.00045979713,0.5576767,0.028951041,1030.6952,1.286,0.0,0.8781002,1.38,0.00059278135,0.062494643,0.07362822,0.07782021,0.08123834,0.078730576,0.0743145,0.063519865,0.055636305,0.041939896,0.04082205,0.0404315,0.04106377,0.045754176,0.051163025,0.06930575,0.102137156
0.96469504,0.09021319,1798.1869,1.286,0.0,0.89926237,1.36,0.0007634241,0.96469504,0.023897054,3448.7896,1.286,0.0,0.861284,1.36,0.0004171868,0.96469504,0.006992519,1569.0756,1.286,0.0,0.912761,1.38,0.00047577755,0.042249057,0.052710418,0.05679929,0.06553448,0.068170086,0.06975999,0.06033864,0.05111901,0.035142627,0.036436018,0.039551426,0.04106723,0.04849263,0.057977036,0.09837024,0.17628182
0.92483646,0.07492987,1919.2775,1.286,0.0,0.8320403,1.36,0.0009070211,0.92483646,0.020440115,2828.622,1.286,0.0,0.849541,1.36,0.00074569666,0.92483646,0.02573606,2293.6082,1.286,0.0,0.851575,1.38,0.00043565247,0.04655637,0.05668373,0.060643457,0.06829453,0.07008349,0.07080487,0.061679196,0.05306959,0.03775471,0.038590226,0.041201577,0.042453207,0.048431247,0.056600392,0.09089306,0.15626031
0.4767398,0.04719868,1371.2228,1.286,0.0,0.91138077,1.36,0.00067664025,0.4767398,0.093555234,1444.2827,1.286,0.0,0.93408966,1.36,0.0006167596,0.4767398,0.0799183,871.4003,1.286,0.0,0.81595516,1.38,0.0005589824,0.06708647,0.07823158,0.08234348,0.08424282,0.08049725,0.07466824,0.06339321,0.055597097,0.042337473,0.04077968,0.039678365,0.040136926,0.044575635,0.049302667,0.06464381,0.092485316
