layer0_sao2,layer0.1_vhb,layer0.2_a_mie,layer0.3_b_mie,layer0.4_a_ray,layer0.5_g,layer0.6_n,layer0.7_d,layer1_sao2,layer1.1_vhb,layer1.2_a_mie,layer1.3_b_mie,layer1.4_a_ray,layer1.5_g,layer1.6_n,layer1.7_d,layer2_sao2,layer2.1_vhb,layer2.2_a_mie,layer2.3_b_mie,layer2.4_a_ray,layer2.5_g,layer2.6_n,layer2.7_d,460.46848,470.85913,475.64023,487.55966,495.06268,505.49545,516.9379,524.29926,536.7569,544.5972,555.9696,562.3306,574.3978,581.5989,588.1238,598.2659
0.22324416,0.01420937,3307.7336,1.286,0.0,0.8819528,1.36,0.0007172627,0.22324416,0.06197147,1537.7905,1.286,0.0,0.8053313,1.36,0.00047983744,0.22324416,0.08169133,2257.567,1.286,0.0,0.83568347,1.38,0.00040068585,0.34301773,0.35647252,0.36166596,0.34505066,0.32509992,0.31186622,0.2910201,0.2792687,0.25455543,0.24635062,0.24011351,0.24088933,0.251412,0.26117665,0.28024623,0.31523314
0.31914973,0.012987325,1742.3805,1.286,0.0,0.8382515,1.36,0.0007986738,0.31914973,0.08474255,3304.9434,1.286,0.0,0.9286829,1.36,0.00081576983,0.31914973,0.05666782,1739.6051,1.286,0.0,0.84400195,1.38,0.0004954408,0.25010434,0.26520923,0.27156886,0.2592606,0.24203913,0.23112378,0.21128649,0.19961989,0.17577486,0.16964464,0.16580757,0.16671672,0.17542323,0.18511759,0.2077581,0.25003526
0.042802397,0.010656718,1504.9543,1.286,0.0,0.8359322,1.36,0.0006521307,0.042802397,0.081440076,3593.215,1.286,0.0,0.87833697,1.36,0.00055035844,0.042802397,0.002130275,3593.876,1.286,0.0,0.85393584,1.38,0.0005471466,0.26191273,0.2792641,0.285705,0.2631061,0.23725961,0.21818419,0.1965998,0.18559518,0.16462849,0.15653807,0.14893337,0.14989474,0.16347979,0.17325126,0.18998529,0.22550382
0.28208467,0.042195182,3537.2493,1.286,0.0,0.9334667,1.36,0.00066838233,0.28208467,0.04090925,2116.6206,1.286,0.0,0.9041691,1.36,0.00063986995,0.28208467,0.088559285,4143.098,1.286,0.0,0.82489574,1.38,0.00043747493,0.22166805,0.24144484,0.24980944,0.23695272,0.21757045,0.20510724,0.18297753,0.17018324,0.1446811,0.13836989,0.13464758,0.13638315,0.148399,0.16045077,0.18658026,0.23633812
0.73116755,0.07159992,651.3815,1.286,0.0,0.93771464,1.36,0.00062315294,0.73116755,0.014544939,2945.8704,1.286,0.0,0.8963554,1.36,0.0004439124,0.73116755,0.085577846,3320.4377,1.286,0.0,0.9274182,1.38,0.00059753505,0.042434495,0.055158123,0.061831158,0.067678064,0.0662129,0.067693636,0.05581682,0.046891894,0.030827273,0.031101337,0.03411349,0.035897616,0.042529456,0.052652866,0.087201476,0.15613015
0.99590695,0.09185024,3203.914,1.286,0.0,0.9081973,1.36,0.0008893255,0.99590695,0.060695916,918.69775,1.286,0.0,0.88756174,1.36,0.00046441527,0.99590695,0.030197363,1570.9017,1.286,0.0,0.86195964,1.38,0.00056795095,0.081417225,0.094107375,0.100752436,0.1091096,0.11041534,0.115365766,0.10179669,0.09012347,0.06776807,0.06935867,0.07630277,0.07822696,0.08166256,0.09355766,0.14237311,0.23811737
0.4544782,0.03649465,1730.8524,1.286,0.0,0.8796228,1.36,0.000795417,0.4544782,0.012991017,2262.3809,1.286,0.0,0.9376284,1.36,0.0006528544,0.4544782,0.0659751,2591.291,1.286,0.0,0.8380609,1.38,0.0004198236,0.14619651,0.16565347,0.17471024,0.17065264,0.15831426,0.1519125,0.13240787,0.12002824,0.095863014,0.09247353,0.092320085,0.09415807,0.103481136,0.115512215,0.14738408,0.20729953
0.48205504,0.097625755,2312.7563,1.286,0.0,0.8507838,1.36,0.00067472813,0.48205504,0.083387874,2727.8906,1.286,0.0,0.88133115,1.36,0.0006976409,0.48205504,0.02916138,2392.9705,1.286,0.0,0.83233505,1.38,0.0004784701,0.072785206,0.084390424,0.08994029,0.0881984,0.08098828,0.07701108,0.06531173,0.058021683,0.04464075,0.04298843,0.042897478,0.043859985,0.049427617,0.056245834,0.07684701,0.118726425
0.5576767,0.07940166,2743.0532,1.286,0.0,0.862083,1.36,0.0009022609,0.5576767,0.020136932,1199.36,1.286,0.0,0.9448501,1.36,0.00045979713,0.5576767,0.028951041,1030.6952,1.286,0.0,0.8781002,1.38,0.00059278135,0.099614434,0.113652915,0.120449446,0.11958521,0.112078086,0.10880866,0.0942185,0.08459439,0.0661502,0.0643151,0.065053135,0.06632508,0.0724309,0.0813783,0.1089307,0.16241747
0.96469504,0.09021319,1798.1869,1.286,0.0,0.89926237,1.36,0.0007634241,0.96469504,0.023897054,3448.7896,1.286,0.0,0.861284,1.36,0.0004171868,0.96469504,0.006992519,1569.0756,1.286,0.0,0.912761,1.38,0.00047577755,0.047599673,0.05731156,0.062554084,0.07024063,0.07193816,0.07582425,0.065030485,0.05586485,0.039624345,0.041098844,0.04587216,0.04764456,0.05378699,0.06480479,0.10986366,0.20303683
