layer0_sao2,layer0.1_vhb,layer0.2_a_mie,layer0.3_b_mie,layer0.4_a_ray,layer0.5_g,layer0.6_n,layer0.7_d,layer1_sao2,layer1.1_vhb,layer1.2_a_mie,layer1.3_b_mie,layer1.4_a_ray,layer1.5_g,layer1.6_n,layer1.7_d,layer2_sao2,layer2.1_vhb,layer2.2_a_mie,layer2.3_b_mie,layer2.4_a_ray,layer2.5_g,layer2.6_n,layer2.7_d,460.46848,470.85913,475.64023,487.55966,495.06268,505.49545,516.9379,524.29926,536.7569,544.5972,555.9696,562.3306,574.3978,581.5989,588.1238,598.2659
0.22324416,0.01420937,3307.7336,1.286,0.0,0.8819528,1.36,0.0007172627,0.22324416,0.06197147,1537.7905,1.286,0.0,0.8053313,1.36,0.00047983744,0.22324416,0.08169133,2257.567,1.286,0.0,0.83568347,1.38,0.00040068585,0.07292914,0.075789765,0.07689395,0.07336136,0.069119625,0.066306,0.061873898,0.05937543,0.054121133,0.052376702,0.05105063,0.051215578,0.05345281,0.05552887,0.05958326,0.06702185
0.31914973,0.012987325,1742.3805,1.286,0.0,0.8382515,1.36,0.0007986738,0.31914973,0.08474255,3304.9434,1.286,0.0,0.9286829,1.36,0.00081576983,0.31914973,0.05666782,1739.6051,1.286,0.0,0.84400195,1.38,0.0004954408,0.0729914,0.07739967,0.07925569,0.075663604,0.07063762,0.06745204,0.061662655,0.05825783,0.051298805,0.049509738,0.048389915,0.048655245,0.051196188,0.054025423,0.060632914,0.07297124
0.042802397,0.010656718,1504.9543,1.286,0.0,0.8359322,1.36,0.0006521307,0.042802397,0.081440076,3593.215,1.286,0.0,0.87833697,1.36,0.00055035844,0.042802397,0.002130275,3593.876,1.286,0.0,0.85393584,1.38,0.0005471466,0.07937131,0.08462955,0.08658143,0.079732955,0.07190031,0.0661196,0.05957856,0.05624367,0.049889818,0.04743806,0.045133494,0.045424834,0.04954171,0.052502904,0.057574067,0.068337776
0.28208467,0.042195182,3537.2493,1.286,0.0,0.9334667,1.36,0.00066838233,0.28208467,0.04090925,2116.6206,1.286,0.0,0.9041691,1.36,0.00063986995,0.28208467,0.088559285,4143.098,1.286,0.0,0.82489574,1.38,0.00043747493,0.07360565,0.0801726,0.08295009,0.07868098,0.072245024,0.06810658,0.060758326,0.056509938,0.04804186,0.045946203,0.044710197,0.0452865,0.049276404,0.053278238,0.061954625,0.0784769
0.73116755,0.07159992,651.3815,1.286,0.0,0.93771464,1.36,0.00062315294,0.73116755,0.014544939,2945.8704,1.286,0.0,0.8963554,1.36,0.0004439124,0.73116755,0.085577846,3320.4377,1.286,0.0,0.9274182,1.38,0.00059753505,0.04542477,0.05904501,0.06618828,0.07244721,0.0708788,0.07246388,0.059750125,0.050196275,0.032999612,0.033292986,0.0365174,0.038427252,0.045526426,0.05636321,0.093346395,0.16713235
0.99590695,0.09185024,3203.914,1.286,0.0,0.9081973,1.36,0.0008893255,0.99590695,0.060695916,918.69775,1.286,0.0,0.88756174,1.36,0.00046441527,0.99590695,0.030197363,1570.9017,1.286,0.0,0.86195964,1.38,0.00056795095,0.04933017,0.057019047,0.061045248,0.0661088,0.06689994,0.06989937,0.061677955,0.054605227,0.04106023,0.042023968,0.04623135,0.04739721,0.049478814,0.056685984,0.08626295,0.14427377
0.4544782,0.03649465,1730.8524,1.286,0.0,0.8796228,1.36,0.000795417,0.4544782,0.012991017,2262.3809,1.286,0.0,0.9376284,1.36,0.0006528544,0.4544782,0.0659751,2591.291,1.286,0.0,0.8380609,1.38,0.0004198236,0.06742239,0.07639548,0.080572255,0.07870098,0.07301081,0.070058465,0.061063394,0.0553542,0.044209767,0.042646617,0.04257585,0.043423485,0.047723066,0.053271513,0.06797007,0.09560166
0.48205504,0.097625755,2312.7563,1.286,0.0,0.8507838,1.36,0.00067472813,0.48205504,0.083387874,2727.8906,1.286,0.0,0.88133115,1.36,0.0006976409,0.48205504,0.02916138,2392.9705,1.286,0.0,0.83233505,1.38,0.0004784701,0.066636,0.07726076,0.082341745,0.08074702,0.07414605,0.07050485,0.059793916,0.053119764,0.04086931,0.039356586,0.039273318,0.040154506,0.04525176,0.051493946,0.07035465,0.10869591
0.5576767,0.07940166,2743.0532,1.286,0.0,0.862083,1.36,0.0009022609,0.5576767,0.020136932,1199.36,1.286,0.0,0.9448501,1.36,0.00045979713,0.5576767,0.028951041,1030.6952,1.286,0.0,0.8781002,1.38,0.00059278135,0.0646846,0.07380048,0.0782138,0.07765261,0.07277787,0.07065487,0.06118075,0.05493134,0.042954613,0.04176299,0.042242233,0.04306817,0.047032982,0.052842975,0.07073411,0.10546573
0.96469504,0.09021319,1798.1869,1.286,0.0,0.89926237,1.36,0.0007634241,0.96469504,0.023897054,3448.7896,1.286,0.0,0.861284,1.36,0.0004171868,0.96469504,0.006992519,1569.0756,1.286,0.0,0.912761,1.38,0.00047577755,0.04280177,0.05153473,0.056248825,0.06316059,0.06468701,0.0681814,0.058475614,0.050233845,0.035630334,0.036956206,0.04124839,0.042842135,0.048365425,0.058272667,0.098789744,0.18257134
